,Name,Position,TeamAbbrev,Vegas Total,VEGAS,Salary,GPP ALGO,Last 4,L4: Value,Proj #1,Proj #2,Custom,Avg Proj,DVP L14,DVP L14 %ofFP,ID,AvgPointsPerGame
135,E'Twaun Moore,SG/SF,NOR,116.5,5.5,3600,,21.4,5.9,12.0,12.7,13.6,12.8,40.6,17.40%,E'Twaun Moore (12151827),12.0
136,Jakob Poeltl,C,SAS,112.0,-4.0,3600,,18.5,5.1,13.5,13.0,13.7,13.4,55.8,25.10%,Jakob Poeltl (12151847),13.5
137,Josh Okogie,SG/SF,MIN,120.0,-5.0,3600,,21.1,5.9,13.6,10.9,11.9,12.2,42.4,18.00%,Josh Okogie (12151840),13.6
138,JaMychal Green,SF/PF,LAC,108.75,9.5,3500,,24.3,6.9,15.3,19.0,19.6,18.0,39.8,17.40%,JaMychal Green (12151868),15.3
139,Ed Davis,C,BKN,121.0,-5.5,3500,,23.3,6.7,23.2,17.2,18.8,19.7,56.6,22.30%,Ed Davis (12151866),23.2
14,Kemba Walker,PG,CHA,111.5,4.5,8500,,37.9,4.5,43.5,44.8,47.0,45.1,50.2,21.80%,Kemba Walker (12151305),43.5
140,Ersan Ilyasova,C/PF,MIL,115.5,-6.5,3500,,19.3,5.5,12.1,17.3,18.5,16.0,54.6,22.40%,Ersan Ilyasova (12151877),12.1
141,Luol Deng,SF/PF,MIN,120.0,-5.0,3500,,21.8,6.2,11.7,13.3,14.5,13.2,39.1,16.60%,Luol Deng (12151862),11.7
142,Darius Miller,SF/PF,NOR,116.5,5.5,3500,,16.5,4.7,13.7,12.4,13.3,13.1,38.4,16.50%,Darius Miller (12151881),13.7
143,Rodney Hood,SG/SF,POR,112.0,2.5,3500,,12.1,3.5,15.6,16.6,17.5,16.6,42.3,18.60%,Rodney Hood (12151872),15.6
144,Tyreke Evans,SG/SF,IND,108.25,-1.0,3500,,16.3,4.7,15.9,16.9,17.4,16.7,45.5,18.10%,Tyreke Evans (12151857),15.9
145,Ish Smith,PG,DET,107.5,4.0,3400,,20.7,6.1,16.3,18.3,18.9,17.8,55.8,23.40%,Ish Smith (12151889),16.3
146,Miles Bridges,SF/PF,CHA,111.5,4.5,3400,,15.8,4.7,21.6,18.8,19.8,20.1,43.6,18.90%,Miles Bridges (12151910),21.6
147,Royce O'Neale,SF,UTA,118.25,-9.5,3400,,18.1,5.3,17.5,13.7,14.9,15.4,37.4,16.30%,Royce O'Neale (12151923),17.5
148,Shabazz Napier,PG/SG,BKN,121.0,-5.5,3400,,19.4,5.7,16.1,14.5,15.9,15.5,55.3,21.80%,Shabazz Napier (12151885),16.1
